"CHR" "POPNAME" "H_O_VARSITES" "H_O_ALLSITES" "H_E_VARSITES" "H_E_ALLSITES" "H_E_UNBIASED_VARSITES" "H_E_UNBIASED_ALLSITES" "NOVAR_IN_POP" "N_TOT_IN_POP"
"1" "Juhoansi_comp_noHGDP" "0.420636740298612" "0.00101229125589682" "0.355747204921993" "0.000856130124526488" "0.426896645906392" "0.00102735614943179" "220573561" "221105667"
"1" "Dinka_noHGDP" "0.41909274518175" "0.000945226749873624" "0.356932131713208" "0.000805028964742462" "0.42831855805585" "0.000966034757690954" "220710789" "221209708"
"1" "French_noHGDP" "0.434633916054935" "0.000728652015249463" "0.367998121260389" "0.000616938905960821" "0.441597745512467" "0.000740326687152985" "220324294" "220694282"
"1" "Papuan_noHGDP" "0.362003009503271" "0.000610227879475617" "0.329023681732959" "0.000554634680735574" "0.365581868592177" "0.00061626075637286" "220793084" "221165903"
"1" "Yoruba_noHGDP" "0.429049826617227" "0.00101175719203017" "0.354883369782274" "0.000836862712519976" "0.425860043738728" "0.00100423525502397" "220662580" "221184162"
"1" "Mbuti_noHGDP" "0.371380483145806" "0.00100991597884938" "0.326485848899627" "0.000887831457590321" "0.373126684456716" "0.00101466452296037" "220399090" "221000068"
"1" "Mandenka_noHGDP" "0.429423316223363" "0.00099850337743391" "0.355928107879228" "0.000827610901444887" "0.427113729455073" "0.000993133081733864" "220677721" "221192041"
"1" "Karitiana_noHGDP" "0.466357298014404" "0.000580993757420276" "0.36697463061638" "0.000457181586795161" "0.419399577847292" "0.000522493242051613" "219964221" "220238597"
"1" "DaiChinese_noHGDP" "0.361553602437096" "0.000705515519466236" "0.327502880605008" "0.000639070841444406" "0.36389208956112" "0.000710078712716006" "220612706" "221044039"
"2" "Juhoansi_comp_noHGDP" "0.425604958831932" "0.00101281563528131" "0.359104053158372" "0.000854562880869336" "0.430924863790046" "0.0010254754570432" "233600887" "234158115"
"2" "Dinka_noHGDP" "0.432787654423484" "0.00097912937128643" "0.358361332187802" "0.000810748879484143" "0.430033598625362" "0.000972898655380972" "233728813" "234258795"
"2" "French_noHGDP" "0.452763661427043" "0.000751608835214819" "0.372163442194973" "0.000617808704912539" "0.446596130633967" "0.000741370445895047" "233840719" "234229551"
"2" "Papuan_noHGDP" "0.365196921734345" "0.000561028815633154" "0.335763688360343" "0.000515812410243837" "0.373070764844825" "0.00057312490027093" "233857390" "234217203"
"2" "Yoruba_noHGDP" "0.428856418043445" "0.00100755487998811" "0.355513123212411" "0.000835242209564395" "0.426615747854893" "0.00100229065147727" "233507827" "234057722"
"2" "Mbuti_noHGDP" "0.377244680040872" "0.00101576747234311" "0.32771569990861" "0.000882405944352235" "0.374532228466983" "0.00100846393640255" "233444219" "234074487"
"2" "Mandenka_noHGDP" "0.432688287971132" "0.00100727138423025" "0.357463860590992" "0.000832153602673429" "0.428956632709191" "0.000998584323208115" "233734076" "234279464"
"2" "Karitiana_noHGDP" "0.425567548095241" "0.000526657050049234" "0.361049868720947" "0.000446813812830207" "0.412628421395368" "0.000510644357520236" "232994992" "233283690"
"2" "DaiChinese_noHGDP" "0.366214582992567" "0.000689510894150481" "0.328943759882231" "0.000619337176985718" "0.365493066535812" "0.00068815241887302" "233351336" "233791520"
"3" "Juhoansi_comp_noHGDP" "0.424759038025761" "0.00107849089811756" "0.354978047874235" "0.000901312413370432" "0.425973657449082" "0.00108157489604452" "192894326" "193385344"
"3" "Dinka_noHGDP" "0.427394431169959" "0.00100442911944879" "0.356955805986182" "0.000838889746193858" "0.428346967183418" "0.00100666769543263" "192942250" "193396756"
"3" "French_noHGDP" "0.440988283929933" "0.000774366507955692" "0.370574738816798" "0.000650721746793052" "0.444689686580158" "0.000780866096151663" "193067506" "193407125"
"3" "Papuan_noHGDP" "0.365082226957329" "0.000691227370290842" "0.33373643664973" "0.000631878909576695" "0.370818262944144" "0.000702087677307438" "192974085" "193340145"
"3" "Yoruba_noHGDP" "0.434358838771086" "0.00106165686744843" "0.356667195459433" "0.000871763490583961" "0.428000634551319" "0.00104611618870075" "192955070" "193427845"
"3" "Mbuti_noHGDP" "0.37802162428282" "0.00103242380225235" "0.330051031035201" "0.00090141018002646" "0.377201178325944" "0.00103018306288738" "192839187" "193367297"
"3" "Mandenka_noHGDP" "0.435728130815032" "0.0010463241961744" "0.358364687710878" "0.000860549542911079" "0.430037625253054" "0.0010326594514933" "192967588" "193432081"
"3" "Karitiana_noHGDP" "0.438310266116911" "0.000565149552489663" "0.351083460926386" "0.000452680843154482" "0.401238241058727" "0.000517349535033694" "192741229" "192990067"
"3" "DaiChinese_noHGDP" "0.37164815432368" "0.000749566199264012" "0.330147500192392" "0.000665864754167994" "0.366830555769324" "0.000739849726853326" "192894766" "193284596"
"4" "Juhoansi_comp_noHGDP" "0.428703291364722" "0.00114459996723492" "0.35754377915424" "0.000954610347408842" "0.429052534985088" "0.00114553241689061" "184538311" "185032331"
"4" "Dinka_noHGDP" "0.429843661073073" "0.0010776516814915" "0.358249520453313" "0.000898159570729147" "0.429899424543976" "0.00107779148487498" "184557886" "185021750"
"4" "French_noHGDP" "0.43429923676642" "0.0008014018479455" "0.370661944211771" "0.000683973495477607" "0.444794333054125" "0.000820768194573128" "184694318" "185035760"
"4" "Papuan_noHGDP" "0.373292105857607" "0.000687788525670898" "0.339935166469624" "0.000626328559594611" "0.377705740521804" "0.00069592062177179" "184665412" "185006285"
