"CHR" "POPNAME" "H_O_VARSITES" "H_O_ALLSITES" "H_E_VARSITES" "H_E_ALLSITES" "H_E_UNBIASED_VARSITES" "H_E_UNBIASED_ALLSITES" "NOVAR_IN_POP" "N_TOT_IN_POP"
"1" "Baka" "0.295668277069464" "0.00105050637282093" "0.27165273760275" "0.000965179406037174" "0.292549102033731" "0.00103942397573234" "219853076" "220636997"
"1" "Nzime" "0.338388725911086" "0.00102664625501152" "0.299996392625453" "0.000910166768046564" "0.333329325139392" "0.00101129640894063" "220444652" "221115500"
"1" "BaKola" "0.328206467475053" "0.00103053666651157" "0.297562576832288" "0.000934317804175046" "0.330625085369209" "0.00103813089352783" "220036002" "220729070"
"1" "Ngumba" "0.332758254126134" "0.00101255952899986" "0.298076190561148" "0.000907024494143013" "0.331195767290165" "0.00100780499349224" "220365463" "221038066"
"1" "AkaMbati" "0.344133982562902" "0.0010543544695338" "0.303460940694089" "0.000929740785164286" "0.337178822993432" "0.00103304531684921" "220460632" "221138153"
"1" "BaKiga" "0.333203751095841" "0.00102069943397722" "0.298498056266438" "0.000914385855718702" "0.331664506962708" "0.00101598428413189" "220510177" "221187739"
"1" "BaTwa" "0.318815359070743" "0.00101436529089262" "0.290866428857355" "0.00092544101569874" "0.317308831480751" "0.0010095720171259" "220452220" "221155865"
"1" "Nsua" "0.336716093335381" "0.00101368243831793" "0.305364917004762" "0.000919299848664561" "0.339294352227513" "0.00102144427629396" "219902301" "220566315"
"1" "BaKonjo" "0.331042752960196" "0.00101292370712171" "0.297630658719513" "0.000910689472847317" "0.33070073191057" "0.00101187719205257" "220078380" "220753842"
"1" "Karretjiepeople" "0.333014169115994" "0.00105140280380048" "0.297775318508041" "0.000940145596846608" "0.330861465008934" "0.00104460621871845" "220536795" "221235286"
"1" "GuiandGana" "0.335224002472377" "0.00106867763145478" "0.297505819442751" "0.000948433919174067" "0.330562021603057" "0.00105381546574896" "220563390" "221268784"
"1" "Juhoansi" "0.335144702476041" "0.00103658562054828" "0.301433622187762" "0.000932318953577835" "0.334926246875291" "0.00103590994841982" "220527631" "221211828"
"1" "Nama" "0.333411917251135" "0.00104837197713281" "0.299781958378315" "0.000942626787323544" "0.333091064864795" "0.00104736309702616" "220539759" "221235406"
"1" "Xun" "0.333790142659075" "0.00107190404040484" "0.296950319170649" "0.000953599900772478" "0.329944799078499" "0.00105955544530275" "220518510" "221228945"
"1" "BantuHerero" "0.528048169218817" "0.000951715779178541" "0.407430578180998" "0.000734323368166077" "0.543240770907997" "0.000979097824221436" "220986938" "221385948"
"1" "BantuKenya" "0.540946850669254" "0.00101232146394392" "0.405947260958339" "0.000759684847021383" "0.541263014611118" "0.00101291312936184" "220994576" "221408918"
"1" "BantuTswana" "0.54175283204017" "0.00104472217993208" "0.404900653178419" "0.000780814917850054" "0.539867537571225" "0.00104108655713341" "220993121" "221420110"
"1" "Biaka" "0.531382887647855" "0.0010234194782787" "0.405825829664569" "0.00078160224674486" "0.541101106219425" "0.00104213632899315" "220942803" "221369150"
"1" "Dinka" "0.362358554448741" "0.000934512863781047" "0.325479856817007" "0.000839403704874128" "0.371976979219437" "0.000959318519856146" "217033213" "217594383"
"1" "Esan" "0.425853678878806" "0.00100053145093733" "0.355594263149622" "0.000835458895155711" "0.426713115779546" "0.00100255067418685" "220621576" "221141141"
"1" "Gambian" "0.5404792564806" "0.00100324992055533" "0.405340576870179" "0.00075240242186326" "0.540454102493572" "0.00100320322915101" "220900453" "221311256"
"1" "Igbo" "0.546853292161681" "0.0010223249239772" "0.405749775899603" "0.000758536365687066" "0.540999701199471" "0.00101138182091609" "220973663" "221387540"
"1" "Juhoansi_comp" "0.36475294363771" "0.000993573409682115" "0.324347203312193" "0.000883509680557481" "0.370682518071078" "0.00100972534920855" "217001671" "217594390"
"1" "Khomani" "0.541320425876172" "0.000979449140304883" "0.407334291321674" "0.000737018598191556" "0.543112388428899" "0.000982691464255408" "220942803" "221343295"
"1" "Lemande" "0.544321778383855" "0.00101681136279895" "0.406155325697734" "0.000758711788929246" "0.541540434263645" "0.00101161571857233" "220989818" "221403407"
"1" "Luhya" "0.42280277727019" "0.00101461398225326" "0.35368321529035" "0.000848745454887484" "0.42441985834842" "0.00101849454586498" "220674148" "221204981"
"1" "Luo" "0.544164049287267" "0.00101732574221063" "0.40503593863252" "0.000757222913625045" "0.540047918176693" "0.00100963055150006" "220979790" "221393690"
"1" "Mandenka" "0.369936393506598" "0.000976721074180191" "0.324075116550929" "0.000855636270203971" "0.37037156177249" "0.000977870023090252" "216829676" "217403674"
"1" "Maasai" "0.561106510672873" "0.000976601596324299" "0.407481329287255" "0.00070921814144888" "0.543308439049673" "0.000945624188598506" "220948118" "221333347"
"1" "Mbuti" "0.337005597675902" "0.000985686414531909" "0.305308297314533" "0.000892976980151577" "0.339231441460592" "0.000992196644612863" "216500098" "217135183"
"1" "Mende" "0.420445941310381" "0.00101548714378215" "0.352689057286307" "0.000851836510326775" "0.423226868743568" "0.00102220381239213" "220745883" "221280333"
"1" "Mozabite" "0.545657183596073" "0.000833289633188392" "0.409243627252316" "0.000624968354288562" "0.545658169669754" "0.000833291139051416" "221018967" "221357008"
"1" "Saharawi" "0.560803426637524" "0.000862197647328186" "0.409070277797363" "0.000628918109904385" "0.545427037063151" "0.000838557479872513" "221062439" "221402831"
"1" "Yoruba" "0.370824138776511" "0.00100022567555494" "0.323326484239849" "0.000872110030891253" "0.369515981988398" "0.000996697178161432" "217150058" "217737362"
